	TexTerm_Beltra_RNA_rep1	TexTerm_Beltra_RNA_rep2	TexTerm_Beltra_RNA_rep3	TexTerm_Hudson_RNA_rep1	TexTerm_Hudson_RNA_rep2	TexTerm_Hudson_RNA_rep3	TRM_IEL_1_RNA_rep1	TRM_IEL_1_RNA_rep2	TRM_IEL_2_RNA_rep1	TRM_IEL_2_RNA_rep2	TRM_liver_RNA_rep1	TRM_liver_RNA_rep2	TRM_lung_A_RNA_rep1	TRM_lung_A_RNA_rep2	TRM_lung_A_RNA_rep3	TRM_lung_I_RNA_rep1	TRM_lung_I_RNA_rep2	TRM_lung_I_RNA_rep3
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	12	12	7	2	1	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	0	0	0	0	0	0	0	5	0	0	0	0	6	6	7	5	3	2
Gm18956	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Gm37180	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	1	3	0
Gm37363	0	0	0	0	0	1	0	5	0	0	0	0	11	11	17	3	17	1
Gm37686	0	0	0	0	0	0	0	0	0	0	0	0	17	25	27	9	1	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0
Gm7341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0	0	0	5	9	6	6	2	0
Gm19938	0	0	0	0	0	0	0	0	0	0	0	0	24	23	25	6	0	10
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Gm38385	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3	1	0
Gm6101	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	4	0	3
Rp1	0	0	0	0	0	0	0	0	0	2	0	0	8	5	11	1	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0	0	0	15	9	14	9	2	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
Gm37587	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	4	0	1
Gm7357	1	0	0	1	0	0	0	0	1.2	0	0	0	0	0	0	5	1	1
Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0	0	0	2	7	2	6	0	1
Gm7369	0	0	0	0	0	0	0	0	1.01	0	0	0	0	2	0	1	0	0
Gm6085	0.31	0	0	2.01	2.01	1.01	3.71	1.33	14.59	6.86	4.01	6.02	2	0	1	0	1	6.03
Gm6119	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	1	0	2	3	1	0	1	0	0	0
Gm6123	3.51	0	1.08	7.74	3.35	0	3.34	1.59	4.06	6.34	2.28	2.27	0	1.09	4.29	0	2.18	4.36
Mrpl15	143	139	99	675	616	747	105	92	234	164	599	705	85	58	95	84	175	177
Gm37144	0	1	0	0	0	2	0	0	0	0	14	8	0	0	0	2	0	1
Lypla1	249.07	286	194	1802.19	1329.27	1444.8	357	300	89	112	2368.64	2442	177.31	156	235	225	389.29	455.06
Gm37988	11.07	0	0	62.23	47.44	78.71	0	0	0	0	14.47	0	1.89	0	0	0	3.01	2.15
Tcea1	283.13	330.36	234	1808.84	1546.92	1703.1	288.15	186.77	125.37	135.31	3197.27	3437.51	175.01	176.47	249.91	210.07	454.47	449.8
Gm6104	0	0	0	1.61	0	0	0	0	0	0	0	3.71	0	0	0	0	0	0
Gm37277	0	1	1	2	0	4	0	3	0	0	3	1	4	2	4	7	3	1
Rgs20	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0
Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	1	6	0	0	0	10	12	21	9	4	4
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	10	15	12	10	7	1
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	3	0	0
Atp6v1h	330	408	314	1533	1327	1508	193	137	259	184	1401	1427	209	157	248	257	395	440
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	1	0	1	0	3	0	0	1	0	3	5	2	3	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	4	7	13	2	0	0
Oprk1	0	0	0	0	0	0	0	1	0	0	0	0	4	8	10	8	1	3
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	24	13	14	3	4	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	2	1	0
Rb1cc1	309	260	147	1407.25	1367.1	1273.47	111	86	65	23	2541.98	2673.56	208.95	229.95	258	202.98	405.97	412.96
4732440D04Rik	7	5	3	102.68	73.9	78.53	17	6	18	15	117	121.44	42	38	36	16	33	26
Fam150a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	0	0	0	0	1.09	0	0	0	0	0	0	0	0	0	2	0	0	0
Gm7417	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Gm19026	0	0	2	5.21	7.4	3.09	0	2	6.52	0	10.76	9.41	1.07	2	0	3	0	1
St18	0	0	0	16	14	14	0	0	3	3	10	16	14	20	12	5	5	0
Gm37405	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	2	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	0	0	0	0.53	0	1.76	4.04	7.96	3.3	4.89	0	0.25	0	1.36	0	0	0	1.01
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	147	217	118	1358	1055	1136	122	107	74	40	3540	3496	172	223	212	127	290	286
Gm26983	0	0	0	0	0	0	0	0	0	1.08	0	0	0	0	0	0	0	0
Gm38372	0	0	0	5	2	5	2	0	5	2	194	237	13	12	9	4	5	0
Gm9826	3.03	2.56	0	0	0	0	19.88	0	28.16	0	0	0	1.32	0	4.77	1.63	2.43	4.93
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	2	1	1
Gm26901	0	0	0	0	0	1	0	0	0	0	4	2	3	6	7	3	0	0
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
